Status,Status (Successful),Qty,Amount,ship-city,ship-state,ship-postal-code
Delivered,True,1,613.0,GREATER NOIDA,UTTAR PRADESH,201308.0
Delivered,True,1,432.0,ERNAKULAM,KERALA,686664.0
Delivered,True,1,566.0,HYDERABAD,HYDERABAD,500080.0
Delivered,True,1,885.0,HYDERABAD,HYDERABAD,500080.0
Delivered,True,1,888.0,PHIRANGIPURAM,ANDHRA PRADESH,522529.0
Delivered,True,1,599.0,PUNE,MAHARASHTRA,411037.0
Delivered,True,1,833.0,DHANBAD,JHARKHAND,826001.0
Delivered,True,1,375.0,BENGALURU,KARNATAKA,560093.0
Delivered,True,1,549.0,KOLKATA,WEST BENGAL,700024.0
Delivered,True,1,771.0,KADAPA,ANDHRA PRADESH,516001.0
Delivered,True,1,759.0,BADLAPUR,UTTAR PRADESH,222125.0
Delivered,True,1,1199.0,JAIPUR,RAJASTHAN,302006.0
Delivered,True,1,0.0,KRISHNAGIRI,TAMIL NADU,635103.0
Delivered,True,1,885.0,PUNE,MAHARASHTRA,411060.0
Delivered,True,1,316.0,HYDERABAD,HYDERABAD,500068.0
Delivered,True,1,751.0,KAWARDHA,CHHATTISGARH,491995.0
Delivered,True,1,824.0,LUCKNOW,UTTAR PRADESH,226022.0
Delivered,True,1,0.0,BENGALURU,KARNATAKA,560068.0
Delivered,True,1,599.0,AHMEDABAD,GUJARAT,380015.0
Delivered,True,1,523.0,AHMEDABAD,GUJARAT,380015.0
Delivered,True,1,625.0,AHMEDABAD,GUJARAT,380015.0
Delivered,True,1,0.0,BENGALURU,KARNATAKA,560068.0
Delivered,True,1,487.0,GUWAHATI,ASSAM,781006.0
Delivered,True,1,715.0,THANE,MAHARASHTRA,400610.0
Delivered,True,1,725.0,NAGPUR,MAHARASHTRA,440022.0
Delivered,True,1,792.0,PUNE,MAHARASHTRA,411048.0
Delivered,True,1,1213.0,CHENNAI,TAMIL NADU,600115.0
Delivered,True,1,545.0,CHENNAI,TAMIL NADU,600110.0
Delivered,True,1,560.0,CHANDIGARH,CHANDIGARH,160022.0
Delivered,True,1,329.0,GURUGRAM,HARYANA,122001.0
Delivered,True,1,318.0,MUMBAI,MAHARASHTRA,400050.0
Delivered,True,1,825.0,CHENNAI,TAMIL NADU,600096.0
Delivered,True,1,1556.0,THIRUVANANTHAPURAM,KERALA,695009.0
Delivered,True,1,249.0,MANGALURU,KARNATAKA,575006.0
Delivered,True,1,613.0,AURANGABAD,MAHARASHTRA,431003.0
Delivered,True,1,599.0,CHENNAI,TAMIL NADU,600058.0
Delivered,True,1,487.0,HYDERABAD,HYDERABAD,500084.0
Delivered,True,1,449.0,HYDERABAD,HYDERABAD,500084.0
Delivered,True,1,725.0,BERHAMPUR,ODISHA,760001.0
Delivered,True,1,582.0,PUNE,MAHARASHTRA,411007.0
Delivered,True,1,582.0,PUNE,MAHARASHTRA,411007.0
Delivered,True,1,519.0,NEW DELHI,DELHI,110024.0
Delivered,True,1,446.0,KADAPA,ANDHRA PRADESH,516356.0
Delivered,True,1,1115.0,FATEHABAD,HARYANA,125050.0
Delivered,True,1,626.0,PUNE,MAHARASHTRA,411006.0
Delivered,True,1,399.0,PUNE,MAHARASHTRA,411028.0
Delivered,True,1,725.0,KOLKATA,WEST BENGAL,700053.0
Delivered,True,1,881.0,NAVSARI,GUJARAT,396445.0
Delivered,True,1,635.0,GWALIOR,MADHYA PRADESH,474020.0
Delivered,True,1,477.0,PUNE,MAHARASHTRA,411041.0
Delivered,True,1,1115.0,KANNUR,KERALA,670571.0
Delivered,True,1,597.0,VILAYAT GIDC,GUJARAT,392020.0
Delivered,True,1,597.0,MARAIMALAINAGAR,TAMIL NADU,603209.0
Delivered,True,1,869.0,AHMEDABAD,GUJARAT,380015.0
Delivered,True,1,548.0,CHENNAI,TAMIL NADU,602117.0
Delivered,True,1,295.0,PANMANA,KERALA,691583.0
Delivered,True,1,1432.0,SANKRA,CHHATTISGARH,492112.0
